Ref,Val,Package,PosX,PosY,Rot,Side
"C101","100n","C_0402_1005Metric",196.7000,-164.6000,180.0000,top
"C102","1u","C_0402_1005Metric",207.0000,-157.9250,180.0000,top
"C103","1u","C_0402_1005Metric",213.5700,-156.6500,0.0000,top
"C104","1u","C_0402_1005Metric",213.5800,-155.6500,0.0000,top
"C105","4u7","C_0603_1608Metric",196.9250,-142.9500,180.0000,top
"C106","10u","C_0402_1005Metric",201.7000,-152.8550,90.0000,top
"C107","10u","C_0402_1005Metric",213.1800,-148.4750,0.0000,top
"C108","1u","C_0402_1005Metric",211.4000,-151.6950,-90.0000,top
"C109","100n","C_0402_1005Metric",202.7000,-152.8550,90.0000,top
"C110","4u7","C_0603_1608Metric",199.9500,-142.9500,0.0000,top
"C111","100n","C_0402_1005Metric",209.5000,-147.7750,180.0000,top
"C112","100n","C_0402_1005Metric",200.4000,-152.8550,90.0000,top
"C113","22u","C_0402_1005Metric",209.5000,-146.7750,180.0000,top
"C114","2u2","C_0603_1608Metric",196.6250,-148.0250,0.0000,top
"C115","1u","C_0603_1608Metric",203.4000,-146.9500,0.0000,top
"C117","4u7","C_0603_1608Metric",197.8750,-150.0250,0.0000,top
"C118","1u","C_0603_1608Metric",204.1250,-141.9500,180.0000,top
"D101","STATUS","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",184.9000,-151.3750,90.0000,top
"D102","D_Photo","VEMD808x",208.0000,-151.3750,-90.0000,bottom
"D103","D_Photo","VEMD808x",202.4000,-151.3750,-90.0000,bottom
"IC101","MAX32664","MAX32664GTG",210.4300,-157.6000,90.0000,top
"IC102","MCP73832-2-OT","SOT-23-5",198.8375,-145.4500,180.0000,top
"IC103","MAX86141","THIN-WLP-20_2.228x1.967mm_P0.4mm",211.2000,-149.4750,-90.0000,top
"IC104","LIS2DS12","LGA-12_2x2mm_P0.5mm",201.4375,-155.1050,90.0000,top
"IC105","MIC5365-1.8","SOT-23-5",203.7625,-144.4500,0.0000,top
"IC106","TPS61240","DSBGA-6_0.886x1.288mm_2x3_P0.4mm",195.6500,-149.6250,0.0000,top
"L101","1u","L_0603_1608Metric",194.3500,-148.6250,-90.0000,top
"LED101","SFH7016","SFH7016",205.2000,-151.3750,0.0000,bottom
"M101","BM15C","BM15C",189.7000,-159.0750,90.0000,top
"Q101","BSS138","SOT-23",190.2625,-152.1250,180.0000,top
"R101","220R","R_0402_1005Metric",187.7000,-150.3500,180.0000,top
"R102","10k","R_0402_1005Metric",216.9000,-162.9750,180.0000,top
"R103","0R","R_0805_2012Metric",193.5100,-151.9750,90.0000,top
"R104","10k","R_0402_1005Metric",211.7000,-160.3000,0.0000,top
"R105","5k1","R_0402_1005Metric",192.6500,-142.7800,0.0000,top
"R106","5k1","R_0402_1005Metric",192.6500,-145.7800,180.0000,top
"R107","4k7","R_0402_1005Metric",211.7000,-155.0000,180.0000,top
"R108","10k","R_0402_1005Metric",196.0000,-145.8900,90.0000,top
"R109","10k","R_0402_1005Metric",199.9000,-147.6750,180.0000,top
"SW101","RESET","WS-TASV-6x6",217.8500,-157.5250,90.0000,top
"SW102","BTN1","WS-TASV-6x6",217.8500,-147.3000,-90.0000,top
"X101","CHARGE","USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal",186.3250,-144.0300,-90.0000,top
"X102","DEBUG","PinHeader_2x05_P1.27mm_Vertical",208.2000,-138.2000,-90.0000,top
"X103","BATTERY","78171-0002",195.6000,-139.1500,180.0000,top
"Y101","32kHz","ECS_ECX-1210",213.5000,-158.2750,90.0000,top
